"Company Name","Address","ZIP Code","Legal Name","Record Type","Neighborhood","Census Block Group","Company Description","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database","Square Footage","Latitude","Longitude"
"Rev Green Ministries","2101 S College Ave","19121","","Unverified","Sharswood","3","","866110","Religious Organizations","81311021","Religious Organizations","1 to 4","Single Loc","4","","039.972736","-075.173275"
"Reynolds School","1429 N 24th St","19121","","Unverified","Sharswood","1","General John F. Reynolds School Is A Learning Center That Offers Educational And Enrichment Programs To Students IN Kindergarten Through Grade Eight. Its Facilities Include A Library Media Center, Cafeteria, Sports Field, Gymnasium, Auditorium, Parent Resource Center, Computer And Science Laboratories, Administrative Offices, And Art And Music Rooms. General John F. Reynolds School Is A Part Of The School District Of Philadelphia, Which Is One Of The Largest School Systems IN The United States. The District Operates More Than 270 Educational Institutions And Serves Over 178,000 Students. General John F. Reynolds School Has An Annual Enrollment Of Approximately 450 Students And Is Located IN Philadelphia.","821103","Schools","61111007","Elementary And Secondary Schools","50 to 99","Single Loc","38","100,000+","039.977314","-075.174765"
"Rhi Magnesita","2123 W Seybert St","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.975583","-075.171241"
"Ridge Delite","2062 Ridge Ave","19121","RIDGE DELIGHT LLC","Unverified","Sharswood","2","","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","11","1 - 1,499","039.976991","-075.169494"
"Ridge Home Furniture Inc","2050 Ridge Ave # 51","19121","RIDGE HOME FURNITURE INC","Unverified","Sharswood","2","","571216","Furniture-Dealers-Retail","44911012","Furniture Retailers","1 to 4","Single Loc","2","","039.976741","-075.169369"
"Rite Aid","2137 W Jefferson St","19121","","Unverified","Sharswood","2","","591205","Pharmacies","45611009","Pharmacies And Drug Retailers","5 to 9","Single Loc","5","","039.977622","-075.171055"
"Robichaw-Meadows GROUP LLC","2423 W Jefferson St","19121","ROBICHAW-MEADOWS GROUP LLC","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.978160","-075.175423"
"Robin Strong LLC","2138 W Jefferson St","19121","ROBIN STRONG LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.977348","-075.171123"
"Rodgers Construction","2311 W Jefferson St","19121","","Unverified","Sharswood","1","","152144","Construction Companies","23611512","New Single-Family Housing Construction (Except For","1 to 4","Single Loc","14","1 - 1,499","039.977794","-075.172997"
"Rodriguez Grocery A","2438 W Thompson St","19121","","Unverified","Sharswood","2","","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","20 to 49","Single Loc","4","","039.975355","-075.176786"
"Rubin Realty 2310 LLC","2207 W Thompson St # 3","19121","RUBIN REALTY 2310 LLC","Unverified","Sharswood","2","","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","1 to 4","Single Loc","4","","039.974980","-075.172440"
"Sabic","2337 N College Ave","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","1","","039.974740","-075.174867"
"Sagebeard Limited","2420 W Thompson St","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975279","-075.176136"
"Scape The Land","2111 W Master St # A","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.976165","-075.170686"
"School District-Philadelphia","1429 N 24th St","19121","","Unverified","Sharswood","1","","821120","School Districts","61111018","Elementary And Secondary Schools","10 to 19","Single Loc","6","10,000 - 19,999","039.977314","-075.174765"
"School District-Philadelphia","2300 W Master St # 1","19121","","Unverified","Sharswood","2","","821120","School Districts","61111018","Elementary And Secondary Schools","5 to 9","Single Loc","9","10,000 - 19,999","039.976239","-075.174217"
"Secure Holdings","2439 N College Ave","19121","","Unverified","Sharswood","2","","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","1 to 4","Single Loc","11","2,500 - 4,999","039.974511","-075.176950"
"Sell My House Philadelphia LLC","2431 W Jefferson St","19121","SELL MY HOUSE PHILADELPHIA LLC","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.978189","-075.175652"
"SHANIKA-Brown.Pixel.Com","2101 N College Ave","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","1","","039.975227","-075.171211"
