Company Name,Address,ZIP Code,Legal Name,Record Type,Neighborhood,Census Block Group,Company Description,Primary SIC Code,Primary SIC Description,Primary NAICS,Primary NAICS Description,Location Employee Size Range,Location Type,Years In Database,Square Footage,Latitude,Longitude
Compass Group USA Inc,2101 N College Ave,19121,COMPASS GROUP USA INC,Unverified,Sharswood,2,NA,514939,Food Service-Distributors (Whls),42512058,Wholesale Trade Agents And Brokers,10 to 19,Branch,15,"20,000 - 39,999",039.975227,-75.171211
Compassionate Caretakers,2100 Ridge Ave,19121,COMPASSIONATE CARETAKERS DEVELOPMENTAL LEARNING CTR LLC,Unverified,Sharswood,2,NA,738999,Business Services NEC,56199001,All Other Support Services,1 to 4,Single Loc,7,"1,500 - 2,499",039.977905,-75.170048
Compassionate Caretakers,2439 N College Ave # 5,19121,COMPASSIONATE CARETAKERS HOMECARE AGENCY,Unverified,Sharswood,2,NA,808201,Home Health Service,62161001,Home Health Care Services,5 to 9,Single Loc,4,NA,039.974511,-75.17695
Consultor Imobilirio,2101 N College Ave,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,3,NA,039.975227,-75.171211
Cosmetic-PORT LLC,2224 W Oxford St,19121,COSMETIC-PORT LLC,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.978991,-75.171922
Crawl-EZ Socks,2101 S College Ave,19121,NA,Unverified,Sharswood,3,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,11,"1 - 1,499",039.972736,-75.173275
Crefeld School,2101 S College Ave,19121,NA,Unverified,Sharswood,3,NA,821103,Schools,61111007,Elementary And Secondary Schools,100 to 249,Single Loc,3,NA,039.972736,-75.173275
Crooklyn Property LLC,2430 W Jefferson St,19121,CROOKLYN PROPERTY LLC,Unverified,Sharswood,1,NA,653118,Real Estate,53121003,Offices Of Real Estate Agents And Brokers,1 to 4,Single Loc,4,NA,039.977942,-75.175673
Cruze Limousine Svc Inc,2027 W Master St # 2,19121,CRUZE LIMOUSINE SVC INC,Unverified,Sharswood,2,NA,411903,Limousine Service,48532002,Limousine Service,1 to 4,Single Loc,4,NA,039.976008,-75.169365
Dan's Trucking Co,2422 W Master St,19121,DAN'S TRUCKING CO,Unverified,Sharswood,2,NA,421304,Trucking,48423013,"Specialized Freight (Except Used Goods) Trucking,",1 to 4,Single Loc,3,NA,039.976554,-75.175781
Dashing Rogue,2205 W Thompson St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,1,NA,039.975074,-75.172324
David Fitzgerald,2114 Ridge Ave,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.978330,-75.170248
Dbod LLC,1513 N 23rd St,19121,DBOD LLC,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.979236,-75.172697
Dieu LA Fait LLC,1326 N 22nd St,19121,DIEU LA FAIT LLC,Unverified,Sharswood,2,NA,504403,Copying & Duplicating Machines & Supls,42342015,Office Equipment Merchant Wholesalers,20 to 49,Single Loc,4,NA,039.975966,-75.172079
Diudin Inc,2440 W Jefferson St # 2,19121,DIUDIN INC,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.977968,-75.175938
DJ Delivery LLC,1414d N 23rd St,19121,DJ DELIVERY LLC,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,3,NA,039.976833,-75.173395
DMC Power Inc,2101 S College Ave,19121,DMC POWER INC,Unverified,Sharswood,3,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,3,NA,039.972736,-75.173275
Dr Mary Washam,2222 W Master St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,11,"1 - 1,499",039.976127,-75.172577
Dream Home Builders Constr LLC,2113 Sharswood St,19121,DREAM HOME BUILDERS CONSTR LLC,Unverified,Sharswood,2,NA,152144,Construction Companies,23611512,New Single-Family Housing Construction (Except For,1 to 4,Single Loc,4,NA,039.976902,-75.170652
Drexel University,2428 W Thompson St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,1,NA,039.975299,-75.176573
Durable Vulcanizing Co,2017 W Master St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.975870,-75.169052
East Bethel Baptist Church,1521 N 24th St,19121,NA,Unverified,Sharswood,1,NA,866107,Churches,81311008,Religious Organizations,1 to 4,Single Loc,4,NA,039.978856,-75.174437
Easy Does It,2017 N College Ave,19121,EAZY DOES IT INC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,15,"1 - 1,499",039.975357,-75.169019
El Centro De Estudiantes,2300 W Master St # 1,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.976239,-75.174217
Elite & Pro Barbers LLC,2423 W Master St,19121,ELITE & PRO BARBERS LLC,Unverified,Sharswood,1,NA,724101,Barbers,81211101,Barber Shops,1 to 4,Single Loc,4,NA,039.976817,-75.175876
Elite Cleaning Team LLC,2423 W Master St,19121,ELITE CLEANING TEAM LLC,Unverified,Sharswood,1,NA,734902,Janitor Service,56172001,Janitorial Services,1 to 4,Single Loc,4,NA,039.976817,-75.175876
Elt Schuylkill Fls Bldg Supl,1535 N 22nd St,19121,NA,Unverified,Sharswood,2,NA,521126,Building Materials,44411001,Home Centers,10 to 19,Single Loc,1,NA,039.978526,-75.171118
Embry Care Svc,1503 N 24th St,19121,NA,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.978409,-75.174535
Erizon,2101 N College Ave # H1,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.975227,-75.171211
Ernest & Son Inc,2311 W Jefferson St,19121,ERNEST & SON INC,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,14,"1 - 1,499",039.977794,-75.172997
Esc VR LLC,2109 W Master St,19121,ESC VR LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.976159,-75.170625
Evon's Tasty Treats,2212 Stewart St # D,19121,NA,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.977205,-75.172354
Exclusive Luxe Events LLC,1430 N 22nd St # A2,19121,EXCLUSIVE LUXE EVENTS LLC,Unverified,Sharswood,1,NA,738944,Events-Special,71131004,"Promoters Of Performing Arts, Sports, And Similar",1 to 4,Single Loc,4,NA,039.977255,-75.171633
Excote,2437 N College Ave,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.974530,-75.176879
Expedited Response Trnsprtn Co,2316 W Oxford St,19121,NA,Unverified,Sharswood,1,NA,478977,Transportation,48821008,Support Activities For Rail Transportation,1 to 4,Single Loc,4,NA,039.979144,-75.173135
